Risk,State,Ticker,Description,Spot Price,Gamma (Bn/10bps + ADTV%),Gamma Flip
ðŸ”´,ðŸ“‰,SPX,S&P 500 Index,6728.8,$-0.29Bn (0.1% ADTV),6769.308712392329
ðŸŸ¡,ðŸ“‰,NDX,NASDAQ-100 Index,25059.8086,$0.07Bn (0.1% ADTV),25094.447717844552
ðŸŸ¢,âž–,DJX,Dow Jones Index,469.87,$0.00Bn (0.0% ADTV),
ðŸŸ¡,ðŸ“‰,RUT,Russell 2000 Index,2432.8242,$-0.13Bn (0.3% ADTV),2523.729628049883
ðŸŸ¢,ðŸ“‰,VIX,CBOE Volatility Index,19.08,$0.00Bn (0.0% ADTV),19.180035184611327
ðŸŸ¢,ðŸ“ˆ,MXEA,MSCI EAFE Index,2774.95,$-0.00Bn (0.0% ADTV),2245.134356146063
ðŸŸ¢,âž–,MXEF,MSCI Emerging Markets Index,1381.63,$-0.01Bn (0.1% ADTV),
ðŸŸ¢,ðŸ“‰,XSP,Mini-SPX Index,672.88,$-0.04Bn (0.2% ADTV),685.7794542158571
ðŸŸ¢,ðŸ“‰,XND,Mini-NDX Index,251.5585,$-0.00Bn (0.0% ADTV),256.66413449382725
ðŸŸ¢,ðŸ“‰,MRUT,Mini-Russell 2000 Index,243.2824,$-0.00Bn (0.0% ADTV),253.8746545065342
